Product Reference;Dataset Reference;Variables;Horizontal Resolution Longitudinal;Horizontal Resolution Latitudinal;Vertical Level Number;Temporal Resolution;Temporal Coverage Start;Temporal Coverage End;SUBSETTER Server Address;DGF Server Address;MFTP Server Address;WMS Server Address;Feature Type;Coordinate Reference System;Update Frequency;Delivery Time;NETCDF-WMS Title;Format
ARC_SEAICE_INDEX_002;METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY;sea_ice_extent;N/A;N/A;1;monthly-mean;15/01/1979;-15D;http://cmems.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&service=METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY-TDS&product=ice_extent;http://cmems.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&service=METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY-FTP&product=ice_extent;ftp://mftp.myocean.met.no/Core/SEAICE_ARC_INDEX_002/METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY/;N/A;discrete;N/A;monthly;14:00 UTC on 1st of following month;Northern Hemisphere Sea Ice Extent Monthly;NetCDF-4
ARCTIC_ANALYSIS_FORECAST_BIO_002_004;dataset-topaz4-bio-arc-myoceanv2-be;"gross_primary_productivity_of_carbon;mass_concentration_of_chlorophyll_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mass_concentration_of_oxygen_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water;volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water;mole_concentration_of_zooplankton_in_sea_water_expressed_as_nitrogen";12.5km;12.5km;12;daily-mean;28/12/2011;+10D;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-topaz4-bio-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_BIO-FOR-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-bio-arc-v2&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_BIO-FOR-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_ANALYSIS_FORECAST_BIO_002_004/dataset-topaz4-bio-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-topaz4-bio-arc-myoceanv2-be;grid;polar stereographic;daily;"Forecast: following day at 00:30 UTC; Analysis: Mondays at 14:00 UTC""""";Arctic Ocean Biogeochemistry Analysis and Forecast, 12.5km daily mean (dataset-topaz4-bio-arc-myoceanv2-be);NetCDF-3
ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_a;dataset-topaz4-arc-1hr-myoceanv2-be;"sea_water_salinity;sea_ice_area_fraction;sea_ice_thickness;surface_snow_thickness;sea_surface_elevation;sea_water_potential_temperature;y_sea_water_velocity;x_sea_water_velocity;";12.5km;12.5km;12;hourly instantaneous;13/04/2016;+10D;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-topaz4-arc-1hr-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database%23ARC-METNO-ARC-TOPAZ4_2_PHYS-FOR-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4_2-arc-1hr&service=http://purl.org/myocean/ontology/service/database%23ARC-METNO-ARC-TOPAZ4_2_PHYS-FOR-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_a/dataset-topaz4-arc-1hr-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-topaz4-arc-1hr-myoceanv2-be;grid;polar stereographic;daily;"Forecast: following day at 00:30 UTC""""";Arctic Ocean Physics Analysis and Forecast, 12.5km hourly instantaneous surface fields (dataset-topaz4-arc-1hr-myoceanv2-be);NetCDF-3
ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_a;dataset-topaz4-arc-myoceanv2-be;"sea_ice_x_velocity;sea_ice_y_velocity;sea_water_salinity;sea_ice_area_fraction;sea_ice_thickness;sea_ice_albedo;surface_snow_thickness;sea_surface_height_above_geoid;sea_water_potential_temperature;sea_water_y_velocity;sea_water_x_velocity;ocean_mixed_layer_thickness;sea_water_potential_temperature_at_sea_floor";12.5km;12.5km;12;daily-mean;19/10/2011;+10D;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-topaz4-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_2_PHYS-FOR-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4_2-arc&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_2_PHYS-FOR-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_a/dataset-topaz4-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-topaz4-arc-myoceanv2-be;grid;polar stereographic;daily;"Forecast: following day at 00:30 UTC; Analysis: Mondays at 14:00 UTC""""";Arctic Ocean Physics Analysis and Forecast, 12.5km daily mean (dataset-topaz4-arc-myoceanv2-be);NetCDF-3
ARCTIC_REANALYSIS_BIO_002_005;dataset-bio-ran-arc-day-myoceanv2-be;"mass_concentration_of_chlorophyll_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mass_concentration_of_oxygen_in_sea_water;volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water;mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water;maximum_loss_rate_of_zooplankton;mole_concentration_of_zooplankton_in_sea_water_expressed_as_nitrogen";25km;25km;12;daily-mean;15/01/2007;15/12/2010;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-bio-ran-arc-day-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_BIO-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-bio-ran-arc-day-v2&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_BIO-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_BIO_002_005/dataset-bio-ran-arc-day-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-bio-ran-arc-day-myoceanv2-be;grid;polar stereographic;irregularly;N/A;Arctic Ocean Biogeochemistry Reanalysis (2007-2010), 25km daily mean (dataset-bio-ran-arc-day-myoceanv2-be);NetCDF-3
ARCTIC_REANALYSIS_BIO_002_005;dataset-bio-ran-arc-myoceanv2-be;"mass_concentration_of_chlorophyll_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mass_concentration_of_oxygen_in_sea_water;volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water;mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water;maximum_loss_rate_of_zooplankton;mole_concentration_of_zooplankton_in_sea_water_expressed_as_nitrogen";25km;25km;12;monthly-mean;15/01/2007;15/12/2010;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-bio-ran-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_BIO-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-bio-ran-arc-v2&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_BIO-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_BIO_002_005/dataset-bio-ran-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-bio-ran-arc-myoceanv2-be;grid;polar stereographic;irregularly;N/A;Arctic Ocean Biogeochemistry Reanalysis (2007-2010), 25km monthly mean (dataset-bio-ran-arc-myoceanv2-be);NetCDF-3
ARCTIC_REANALYSIS_PHYS_002_003;dataset-ran-arc-day-myoceanv2-be;"ocean_barotropic_streamfunction;ocean_mixed_layer_thickness;sea_ice_y_velocity;sea_ice_x_velocity;sea_ice_thickness;sea_ice_area_fraction;sea_surface_height_above_sea_level;sea_water_potential_temperature;sea_water_salinity;sea_water_x_velocity;sea_water_y_velocity;time;surface_snow_thickness;sea_water_potential_temperature_at_sea_floor";12.5km;12.5km;12;daily-mean;15/01/1991;15/12/2014;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-ran-arc-day-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-ran-arc-day-v2&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_PHYS_002_003/dataset-ran-arc-day-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-ran-arc-day-myoceanv2-be;grid;polar stereographic;annually;N/A;Arctic Ocean Physics Reanalysis (1991-2014), 12.5km daily mean (dataset-ran-arc-day-myoceanv2-be);NetCDF-3
ARCTIC_REANALYSIS_PHYS_002_003;dataset-ran-arc-myoceanv2-be;"ocean_barotropic_streamfunction;ocean_mixed_layer_thickness;sea_ice_y_velocity;sea_ice_x_velocity;sea_ice_thickness;sea_ice_area_fraction;sea_surface_height_above_sea_level;sea_water_potential_temperature;sea_water_salinity;sea_water_x_velocity;sea_water_y_velocity;time;surface_snow_thickness;sea_water_potential_temperature_at_sea_floor";12.5km;12.5km;12;monthly-mean;15/01/1991;15/12/2014;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-ran-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-ran-arc-v2&service=http://purl.org/myocean/ontology/service/database%23ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_PHYS_002_003/dataset-ran-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-ran-arc-myoceanv2-be;grid;polar stereographic;annually;N/A;Arctic Ocean Physics Reanalysis (1991-2014), 12.5km monthly mean (dataset-ran-arc-myoceanv2-be);NetCDF-3
BALTICSEA_ANALYSIS_FORECAST_BIO_003_007;dataset-bal-analysis-forecast-bio-V2-dailymeans;"mass_concentration_of_chlorophyll_a_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_dissolved_molecular_oxygen_in_sea_water";2km;2km;25;daily-means;Running window: -2Y;+60H;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_BIO_003_007-TDS&product=dataset-bal-analysis-forecast-bio-V2-dailymeans;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_BIO_003_007-FILE&product=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fproduct%2Fdatabase%23dataset-bal-analysis-forecast-bio-V2-dailymeans;ftp://cmems.smhi.se/Core/BALTICSEA_ANALYSIS_FORECAST_BIO_003_007/dataset-bal-analysis-forecast-bio-V2-dailymeans;http://cmems.smhi.se/thredds/wms/Comb_003_007/dataset-bal-analysis-forecast-bio-V2-dailymeans;grid;equirectangular;daily;Twice per day at 10 UTC AM & PM;CMEMS V2 HBM model fields (daily means);netcdf3
BALTICSEA_ANALYSIS_FORECAST_BIO_003_007;dataset-bal-analysis-forecast-bio-V2-hourly;"mass_concentration_of_chlorophyll_a_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_dissolved_molecular_oxygen_in_sea_water";2km;2km;25;hourly-instantaneous;Running window: -2Y;+60H;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_BIO_003_007-TDS&product=dataset-bal-analysis-forecast-bio-V2-hourly;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_BIO_003_007-FILE&product=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fproduct%2Fdatabase%23dataset-bal-analysis-forecast-bio-V2-hourly;ftp://cmems.smhi.se/Core/BALTICSEA_ANALYSIS_FORECAST_BIO_003_007/dataset-bal-analysis-forecast-bio-V2-hourly;http://cmems.smhi.se/thredds/wms/Comb_003_007/dataset-bal-analysis-forecast-bio-V2-hourly;grid;equirectangular;twice daily;Twice per day at 10 UTC AM & PM;CMEMS V2 HBM model fields (hourly);netcdf3
