Product Reference;Title;Westward Longitude;Eastward Longitude;Southward Latitude;Northward Latitude;Vertical Coverage Top;Vertical Coverage Bottom;Source;Type;Data Assimilation;Dataset Reference;Variables;Horizontal Resolution Longitudinal;Horizontal Resolution Latitudinal;Vertical Level Number;Temporal Resolution;Temporal Coverage Start;Temporal Coverage End;SUBSETTER Server Address;DGF Server Address;MFTP Server Address;WMS Server Address;Feature Type
ARC_SEAICE_INDEX_002;Arctic Monthly Mean Sea Ice Extent (km²)  (Nov 1978-present);;;;;;;satellite-observation;multi-year;;METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY;;;;;daily-mean;25/10/1978;-6H;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=ice_extent&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=ice_extent&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY-FTP;ftp://mftp.myocean.met.no/Specific/SEAICE_ARC_INDEX_002/METNO-ARC-SEAICE_EXTENT_TIMESERIES-MONTHLY/;;
ARCTIC_ANALYSIS_FORECAST_BIO_002_004;Arctic Ocean Biogeochemistry Analysis and Forecast;-180.00;180.00;65.00;90.00;0;5500;numerical-model;"near-real-time;forecast";"SST;SL;ITSP;SIC";dataset-topaz4-bio-arc-myoceanv2-be;"gross_primary_productivity_of_carbon;mass_concentration_of_chlorophyll_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mass_concentration_of_oxygen_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water;volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water;mole_concentration_of_zooplankton_in_sea_water_expressed_as_nitrogen";12.5km;12.5km;12;daily-mean;28/12/2011;+10D;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-topaz4-bio-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_BIO-FOR-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-bio-arc-v2&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_BIO-FOR-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_ANALYSIS_FORECAST_BIO_002_004/dataset-topaz4-bio-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-topaz4-bio-arc-myoceanv2-be;grid
ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_a;Arctic Ocean Physics Analysis and Forecast;-180.00;180.00;65.00;90.00;0;5500;numerical-model;"near-real-time;forecast";"SST;SL;ITSP;SIC";dataset-topaz4-arc-myoceanv2-be;"sea_ice_x_velocity;sea_ice_y_velocity;sea_water_salinity;sea_ice_area_fraction;sea_ice_thickness;sea_ice_albedo;surface_snow_thickness;sea_surface_height_above_geoid;sea_water_potential_temperature;sea_water_y_velocity;sea_water_x_velocity;ocean_mixed_layer_thickness;sea_water_potential_temperature_at_sea_floor";12.5km;12.5km;12;daily-mean;19/10/2011;+10D;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-topaz4-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_2_PHYS-FOR-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4_2-arc&service=http://purl.org/myocean/ontology/service/database#ARC-METNO-ARC-TOPAZ4_2_PHYS-FOR-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_a/dataset-topaz4-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-topaz4-arc-myoceanv2-be;grid
ARCTIC_REANALYSIS_BIO_002_005;Arctic Ocean Biogeochemistry Reanalysis (2007-2010);-180.00;180.00;65.00;90.00;0;5500;numerical-model;multi-year;"SST;SL;SIC;SC";dataset-bio-ran-arc-day-myoceanv2-be;"mass_concentration_of_chlorophyll_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mass_concentration_of_oxygen_in_sea_water;volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water;mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water;maximum_loss_rate_of_zooplankton;mole_concentration_of_zooplankton_in_sea_water_expressed_as_nitrogen";25km;25km;12;daily-mean;15/01/2007;15/12/2010;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-bio-ran-arc-day-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_BIO-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-bio-ran-arc-day-v2&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_BIO-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_BIO_002_005/dataset-bio-ran-arc-day-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-bio-ran-arc-day-myoceanv2-be;grid
ARCTIC_REANALYSIS_BIO_002_005;Arctic Ocean Biogeochemistry Reanalysis (2007-2010);-180.00;180.00;65.00;90.00;0;5500;numerical-model;multi-year;"SST;SL;SIC;SC";dataset-bio-ran-arc-myoceanv2-be;"mass_concentration_of_chlorophyll_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mass_concentration_of_oxygen_in_sea_water;volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water;mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water;maximum_loss_rate_of_zooplankton;mole_concentration_of_zooplankton_in_sea_water_expressed_as_nitrogen";25km;25km;12;monthly-mean;15/01/2007;15/12/2010;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-bio-ran-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_BIO-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-bio-ran-arc-v2&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_BIO-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_BIO_002_005/dataset-bio-ran-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-bio-ran-arc-myoceanv2-be;grid
ARCTIC_REANALYSIS_PHYS_002_003;Arctic Ocean Physics Reanalysis (1991-2014);-180.00;180.00;65.00;90.00;0;5500;numerical-model;multi-year;"SST;SL;ITSP;SIC";dataset-ran-arc-day-myoceanv2-be;"ocean_barotropic_streamfunction;ocean_mixed_layer_thickness;sea_ice_y_velocity;sea_ice_x_velocity;sea_ice_thickness;sea_ice_area_fraction;sea_surface_height_above_sea_level;sea_water_potential_temperature;sea_water_salinity;sea_water_x_velocity;sea_water_y_velocity;time;surface_snow_thickness;sea_water_potential_temperature_at_sea_floor";12.5km;12.5km;12;daily-mean;15/01/1991;15/12/2014;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-ran-arc-day-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-ran-arc-day-v2&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_PHYS_002_003/dataset-ran-arc-day-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-ran-arc-day-myoceanv2-be;grid
ARCTIC_REANALYSIS_PHYS_002_003;Arctic Ocean Physics Reanalysis (1991-2014);-180.00;180.00;65.00;90.00;0;5500;numerical-model;multi-year;"SST;SL;ITSP;SIC";dataset-ran-arc-myoceanv2-be;"ocean_barotropic_streamfunction;ocean_mixed_layer_thickness;sea_ice_y_velocity;sea_ice_x_velocity;sea_ice_thickness;sea_ice_area_fraction;sea_surface_height_above_sea_level;sea_water_potential_temperature;sea_water_salinity;sea_water_x_velocity;sea_water_y_velocity;time;surface_snow_thickness;sea_water_potential_temperature_at_sea_floor";12.5km;12.5km;12;monthly-mean;15/01/1991;15/12/2014;http://myocean.met.no/miscas/cgi-bin/fiMisSubsetter?action=describeproduct&product=dataset-ran-arc-myoceanv2-be&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-TDS;http://myocean.met.no/miscas/cgi-bin/MisGetfiles?action=describeproduct&product=topaz4-ran-arc-v2&service=http://purl.org/myocean/ontology/service/database#ARC-NERSC-ARC-TOPAZ4_PHYS-RAN-FTP;ftp://mftp.myocean.met.no/Core/ARCTIC_REANALYSIS_PHYS_002_003/dataset-ran-arc-myoceanv2-be/;http://thredds.met.no/thredds/wms/topaz/dataset-ran-arc-myoceanv2-be;grid
BALTICSEA_ANALYSIS_FORECAST_BIO_003_007;Baltic Sea Biogeochemistry Analysis and Forecast;9.00;30.00;53.00;66.00;0;400;numerical-model;"near-real-time;forecast";none;dataset-bal-analysis-forecast-bio-V2-dailymeans;"mass_concentration_of_chlorophyll_a_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_dissolved_molecular_oxygen_in_sea_water";2km;2km;25;daily-means;Running window: -2Y;+60H;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_BIO_003_007-TDS&product=dataset-bal-analysis-forecast-bio-V2-dailymeans; ;ftp://cmems.smhi.se/Core/BALTICSEA_ANALYSIS_FORECAST_BIO_003_007/dataset-bal-analysis-forecast-bio-V2-dailymeans;http://cmems.smhi.se/thredds/wms/Comb_003_007/dataset-bal-analysis-forecast-bio-V2-dailymeans;grid
BALTICSEA_ANALYSIS_FORECAST_BIO_003_007;Baltic Sea Biogeochemistry Analysis and Forecast;9.00;30.00;53.00;66.00;0;400;numerical-model;"near-real-time;forecast";none;dataset-bal-analysis-forecast-bio-V2-hourly;"mass_concentration_of_chlorophyll_a_in_sea_water;mole_concentration_of_nitrate_in_sea_water;mole_concentration_of_phosphate_in_sea_water;mole_concentration_of_dissolved_molecular_oxygen_in_sea_water";2km;2km;25;hourly-instantaneous;Running window: -2Y;+60H;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_BIO_003_007-TDS&product=dataset-bal-analysis-forecast-bio-V2-hourly; ;ftp://cmems.smhi.se/Core/BALTICSEA_ANALYSIS_FORECAST_BIO_003_007/dataset-bal-analysis-forecast-bio-V2-hourly;http://cmems.smhi.se/thredds/wms/Comb_003_007/dataset-bal-analysis-forecast-bio-V2-hourly;grid
BALTICSEA_ANALYSIS_FORECAST_PHYS_003_006;Baltic Sea Physics Analysis and Forecast;9.00;30.00;53.00;66.00;0;400;numerical-model;"near-real-time;forecast";none;dataset-bal-analysis-forecast-phys-V2-dailymeans;"eastward_sea_water_velocity;northward_sea_water_velocity;sea_ice_area_fraction;sea_ice_thickness;sea_surface_height_above_sea_level;sea_water_potential_temperature;sea_water_salinity;sea_water_potential_bottom_temperature;ocean_mixed_layer_thickness_defined_by_sigma_theta";2km;2km;25;daily-means;Running window: -2Y;+60H;http://cmems.smhi.se/mis-gateway-servlet/Motu?action=describeproduct&service=http%3A%2F%2Fpurl.org%2Fmyocean%2Fontology%2Fservice%2Fdatabase%23BALTICSEA_ANALYSIS_FORECAST_PHYS_003_006-TDS&product=dataset-bal-analysis-forecast-phys-V2-dailymeans; ;ftp://cmems.smhi.se/Core/BALTICSEA_ANALYSIS_FORECAST_PHYS_003_006/dataset-bal-analysis-forecast-phys-V2-dailymeans;http://cmems.smhi.se/thredds/wms/Comb_003_006/dataset-bal-analysis-forecast-phys-V2-dailymeans;grid
